period,scenario,variety,mean,p10,p50,p90,std
2061-2080,rcp45,Rózsakő,0.8315328,0.5467002809047699,0.8786760866641998,0.9893614947795868,0.17913555
2061-2080,rcp45,Tannat,0.8267511,0.5256898581981659,0.8991080820560455,0.9890675485134125,0.1902211
2061-2080,rcp45,Leányka,0.82621604,0.5105462312698364,0.8884982466697693,0.9920845687389374,0.20633541
2061-2080,rcp45,Budai zöld,0.82621604,0.5105462312698364,0.8884982466697693,0.9920845687389374,0.20633541
2061-2080,rcp45,Királyleányka,0.82621604,0.5105462312698364,0.8884982466697693,0.9920845687389374,0.20633541
2061-2080,rcp45,Ezerjó,0.82395214,0.5596716403961182,0.8714852929115295,0.9829322338104248,0.1749566
2061-2080,rcp45,Szürkebarát,0.81918025,0.5105462312698364,0.8797816038131714,0.9811356842517853,0.20261772
2061-2080,rcp45,Sauvignon blanc,0.81918025,0.5105462312698364,0.8797816038131714,0.9811356842517853,0.20261772
2061-2080,rcp45,Souvignier Gris,0.81918025,0.5105462312698364,0.8797816038131714,0.9811356842517853,0.20261772
2061-2080,rcp45,Assyrtiko,0.7757811,0.3778253942728043,0.8662671446800232,0.9707383215427399,0.24577327
2061-2080,rcp45,Chasselas,0.76547265,0.47037641406059266,0.8357364535331726,0.9349303901195526,0.1831784
2061-2080,rcp45,Sagrantino,0.7551347,0.3363378345966339,0.8596822321414948,0.9510135293006897,0.24797651
2061-2080,rcp45,Tempranillo,0.6881411,0.25188360065221793,0.8087776303291321,0.9320295810699463,0.2689637
2061-2080,rcp45,Zöld veltelíni,0.6176676,0.2917848408222199,0.6375379264354706,0.9466764867305756,0.22623706
2061-2080,rcp45,Pinot blanc,0.6176676,0.2917848408222199,0.6375379264354706,0.9466764867305756,0.22623706
2061-2080,rcp45,Muscat ottonel,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
2061-2080,rcp45,Rajnai rizling,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
2061-2080,rcp45,Pinot noir,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
2061-2080,rcp45,Tramini,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
2061-2080,rcp45,Müller-Thurgau,0.58595735,0.18472724556922912,0.6375109553337097,0.9466764867305756,0.2601879
2061-2080,rcp45,Rizlingszilváni,0.58595735,0.18472724556922912,0.6375109553337097,0.9466764867305756,0.2601879
2061-2080,rcp45,Irsai Olivér,0.58595735,0.18472724556922912,0.6375109553337097,0.9466764867305756,0.2601879
2061-2080,rcp45,Johanniter,0.5817019,0.18472724556922912,0.6375080645084381,0.9270188510417938,0.2553365
2061-2080,rcp45,Muscaris,0.5817019,0.18472724556922912,0.6375080645084381,0.9270188510417938,0.2553365
2061-2080,rcp45,Touriga Nacional,0.52279055,0.04459950998425484,0.5397596955299377,0.8710099756717682,0.30806488
2061-2080,rcp45,Bronner,0.5155923,0.1375061348080635,0.5327981114387512,0.8676433086395263,0.25215328
2061-2080,rcp45,Solaris,0.5155923,0.1375061348080635,0.5327981114387512,0.8676433086395263,0.25215328
2061-2080,rcp45,Aglianico,0.32980826,0.0,0.2645306885242462,0.8087992846965791,0.298343
2061-2080,rcp45,Garnacha,0.27635452,0.0,0.19839800894260406,0.7776520371437077,0.2768671
2061-2080,rcp45,Carignan,0.27635452,0.0,0.19839800894260406,0.7776520371437077,0.2768671
2061-2080,rcp45,Mourvèdre,0.0,0.0,0.0,0.0,0.0
2061-2080,rcp45,Nero d'Avola,0.0,0.0,0.0,0.0,0.0
2081-2100,rcp45,Aletta,0.9618426,0.9032010614871979,0.9760103821754456,0.9988780975341797,0.044448614
2081-2100,rcp45,Blauburger,0.952846,0.8914666175842285,0.9712437093257904,0.9987832307815552,0.057233322
2081-2100,rcp45,Zengő,0.95254856,0.8870681285858154,0.9686879217624664,0.9986570298671722,0.059362516
2081-2100,rcp45,Kunleány,0.9504592,0.8861915349960328,0.969714492559433,0.9987244009971619,0.057680883
2081-2100,rcp45,Kövidinka,0.9493438,0.8785852670669556,0.9673013985157013,0.9985490024089814,0.061061706
2081-2100,rcp45,Furmint,0.9479985,0.8785852670669556,0.9673013985157013,0.9985490024089814,0.066309996
2081-2100,rcp45,Gamay,0.9461896,0.8785852670669556,0.9673013985157013,0.9985490024089814,0.07218708
2081-2100,rcp45,Sémillon,0.9461896,0.8785852670669556,0.9673013985157013,0.9985490024089814,0.07218708
2081-2100,rcp45,Turán,0.944591,0.8718391478061676,0.9598174393177032,0.9984787762165069,0.055139747
2081-2100,rcp45,Albariño,0.9405328,0.8868842959403992,0.9716710150241852,0.998752874135971,0.105850786
2081-2100,rcp45,Zenit,0.9315886,0.8514675855636596,0.958644449710846,0.9985945820808411,0.08365925
2081-2100,rcp45,Hárslevelű,0.9290388,0.8513890385627747,0.958644449710846,0.9985945820808411,0.09156886
2081-2100,rcp45,Zéta,0.9290388,0.8513890385627747,0.958644449710846,0.9985945820808411,0.09156886
2081-2100,rcp45,Kabar,0.9290388,0.8513890385627747,0.958644449710846,0.9985945820808411,0.09156886
2081-2100,rcp45,Kövérszőlő,0.9290388,0.8513890385627747,0.958644449710846,0.9985945820808411,0.09156886
2081-2100,rcp45,Kadarka,0.92864376,0.8513890385627747,0.958644449710846,0.9985945820808411,0.092877924
2081-2100,rcp45,Merlot,0.92864376,0.8513890385627747,0.958644449710846,0.9985945820808411,0.092877924
2081-2100,rcp45,Verdejo,0.9053185,0.6656442582607269,0.965848445892334,0.9984319031238555,0.1276618
2081-2100,rcp45,Vermentino,0.9048969,0.6656442582607269,0.965848445892334,0.9984319031238555,0.12914617
2081-2100,rcp45,Sangiovese,0.9048969,0.6656442582607269,0.965848445892334,0.9984319031238555,0.12914617
2081-2100,rcp45,Mészikadar,0.9044113,0.6645686626434326,0.9590072631835938,0.9983146607875824,0.12454808
2081-2100,rcp45,Cabernet franc,0.90165937,0.650299745798111,0.9645408093929291,0.9990165948867797,0.14621547
2081-2100,rcp45,Menoire,0.9009724,0.661972439289093,0.9590072631835938,0.9983146607875824,0.12835583
2081-2100,rcp45,Syrah,0.89960647,0.6686909019947052,0.9604397416114807,0.9981484234333038,0.12576863
2081-2100,rcp45,Cabernet sauvignon,0.8950493,0.6673145234584809,0.9604397416114807,0.9981484234333038,0.13214444
2081-2100,rcp45,Juhfark,0.88668805,0.6474640786647796,0.958644449710846,0.9985945820808411,0.16716114
2081-2100,rcp45,Sárgamuskotály,0.8848964,0.6489978969097138,0.953830361366272,0.9980140626430511,0.16621606
2081-2100,rcp45,Fiano,0.8754104,0.6394224345684052,0.9257648587226868,0.9979320526123047,0.14630935
2081-2100,rcp45,Bíborkadarka,0.8751809,0.6391125559806824,0.9290614128112793,0.9961316823959351,0.14662425
2081-2100,rcp45,Alibernet,0.8703427,0.6387754023075104,0.9177793562412262,0.9936459779739379,0.14482212
2081-2100,rcp45,Zefír,0.8698307,0.6162432670593262,0.9338984787464142,0.9973678112030029,0.16876818
2081-2100,rcp45,Vulcanus,0.8698307,0.6162432670593262,0.9338984787464142,0.9973678112030029,0.16876818
2081-2100,rcp45,Auxerrois,0.8698307,0.6162432670593262,0.9338984787464142,0.9973678112030029,0.16876818
2081-2100,rcp45,Zeus,0.8698307,0.6162432670593262,0.9338984787464142,0.9973678112030029,0.16876818
2081-2100,rcp45,Nektár,0.8698307,0.6162432670593262,0.9338984787464142,0.9973678112030029,0.16876818
2081-2100,rcp45,Zweigelt,0.8667478,0.6162432670593262,0.9319188594818115,0.9980699956417084,0.17762549
2081-2100,rcp45,Kékfrankos,0.8667478,0.6162432670593262,0.9319188594818115,0.9980699956417084,0.17762549
2081-2100,rcp45,Olaszrizling,0.8663786,0.6162432670593262,0.9318300783634186,0.9980081498622895,0.17752537
2081-2100,rcp45,Cabernet Cortis,0.8663786,0.6162432670593262,0.9318300783634186,0.9980081498622895,0.17752537
2081-2100,rcp45,Portugieser,0.8663786,0.6162432670593262,0.9318300783634186,0.9980081498622895,0.17752537
2081-2100,rcp45,Malbec,0.86635697,0.6375574171543121,0.9176091551780701,0.9961316823959351,0.1528214
2081-2100,rcp45,Bianca,0.8656733,0.6162432670593262,0.9162781834602356,0.994260162115097,0.15793905
2081-2100,rcp45,Arany sárfehér,0.8652203,0.6086224377155304,0.9185444116592407,0.9977968871593476,0.16218491
2081-2100,rcp45,Kéknyelű,0.86157453,0.6086273908615113,0.9265009164810181,0.9971233069896698,0.1792974
2081-2100,rcp45,Tannat,0.8607758,0.6375453770160675,0.9107523858547211,0.9930374383926391,0.15113565
2081-2100,rcp45,Chardonnay,0.8593784,0.6162432670593262,0.9162781834602356,0.994260162115097,0.17460327
2081-2100,rcp45,Cirfandli,0.8433617,0.5832797825336457,0.9185444116592407,0.9977968871593476,0.20948726
2081-2100,rcp45,Zalagyöngye,0.820034,0.5251718401908875,0.8715035021305084,0.9862479090690612,0.1844263
2081-2100,rcp45,Cserszegi fűszeres,0.8142944,0.5251718401908875,0.8708647787570953,0.9781449556350708,0.18996201
2081-2100,rcp45,Generosa,0.8142944,0.5251718401908875,0.8708647787570953,0.9781449556350708,0.18996201
2081-2100,rcp45,Ezerjó,0.8142935,0.5238588571548461,0.8679205775260925,0.9898983657360076,0.19482
2081-2100,rcp45,Rózsakő,0.8136132,0.5064505040645599,0.8725530803203583,0.9898983657360076,0.20177665
2081-2100,rcp45,Leányka,0.80821043,0.5113715320825577,0.8778985738754272,0.9898983657360076,0.22002411
2081-2100,rcp45,Királyleányka,0.80821043,0.5113715320825577,0.8778985738754272,0.9898983657360076,0.22002411
2081-2100,rcp45,Budai zöld,0.80821043,0.5113715320825577,0.8778985738754272,0.9898983657360076,0.22002411
2081-2100,rcp45,Assyrtiko,0.80451816,0.44593085348606115,0.8768257200717926,0.9837737619876862,0.22021374
2081-2100,rcp45,Szürkebarát,0.8011434,0.5113715320825577,0.8708647787570953,0.9781449556350708,0.21583624
2081-2100,rcp45,Sauvignon blanc,0.8011434,0.5113715320825577,0.8708647787570953,0.9781449556350708,0.21583624
2081-2100,rcp45,Souvignier Gris,0.8011434,0.5113715320825577,0.8708647787570953,0.9781449556350708,0.21583624
2081-2100,rcp45,Sagrantino,0.79006416,0.4316346555948258,0.8662202656269073,0.9717439353466034,0.21995798
2081-2100,rcp45,Chasselas,0.74525523,0.43410042226314544,0.8209161460399628,0.9349728584289551,0.20358534
2081-2100,rcp45,Tempranillo,0.71927345,0.29728723466396334,0.8503778874874115,0.9565309166908265,0.25524026
2081-2100,rcp45,Zöld veltelíni,0.590004,0.281508418917656,0.6241054534912109,0.9329165697097779,0.22793366
2081-2100,rcp45,Pinot blanc,0.590004,0.281508418917656,0.6241054534912109,0.9329165697097779,0.22793366
2081-2100,rcp45,Muscat ottonel,0.57068646,0.19811831116676332,0.6241054534912109,0.9329165697097779,0.25183672
2081-2100,rcp45,Rajnai rizling,0.57068646,0.19811831116676332,0.6241054534912109,0.9329165697097779,0.25183672
2081-2100,rcp45,Pinot noir,0.57068646,0.19811831116676332,0.6241054534912109,0.9329165697097779,0.25183672
2081-2100,rcp45,Tramini,0.57068646,0.19811831116676332,0.6241054534912109,0.9329165697097779,0.25183672
2081-2100,rcp45,Müller-Thurgau,0.5643353,0.18169597536325455,0.6218729913234711,0.9329165697097779,0.25627252
2081-2100,rcp45,Rizlingszilváni,0.5643353,0.18169597536325455,0.6218729913234711,0.9329165697097779,0.25627252
2081-2100,rcp45,Irsai Olivér,0.5643353,0.18169597536325455,0.6218729913234711,0.9329165697097779,0.25627252
2081-2100,rcp45,Johanniter,0.560352,0.18169597536325455,0.6218729913234711,0.9150003790855408,0.25154892
