borvidek,horizon_label,period,scenario,emissions_level,rank,variety,variety_en,colour,future_suitability,delta_vs_1991_2020,confidence,limiting_factor,status,huglin_mean,winkler_mean
Badacsonyi,Near term (2021–2040),2021-2040,rcp45,moderate,1,Merlot,Merlot,red,1.0,0.185,high,huglin,new,2078.0,1565.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp45,moderate,2,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.0,high,huglin,expand,2078.0,1565.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp45,moderate,3,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,expand,2078.0,1565.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp45,moderate,4,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,expand,2078.0,1565.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp85,high,1,Merlot,Merlot,red,1.0,0.185,high,huglin,new,2023.0,1522.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp85,high,2,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.0,high,huglin,expand,2023.0,1522.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp85,high,3,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,expand,2023.0,1522.0
Badacsonyi,Near term (2021–2040),2021-2040,rcp85,high,4,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,expand,2023.0,1522.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Tempranillo,Tempranillo,red,1.0,0.974,medium,huglin,new,2157.0,1670.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Fiano,Fiano,white,1.0,0.968,medium,huglin,new,2157.0,1670.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.668,high,huglin,new,2157.0,1670.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.668,high,huglin,new,2157.0,1670.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Merlot,Merlot,red,1.0,0.185,high,huglin,new,1971.0,1532.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.0,high,huglin,expand,1971.0,1532.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,expand,1971.0,1532.0
Badacsonyi,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,expand,1971.0,1532.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2209.0,1732.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2209.0,1732.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Tempranillo,Tempranillo,red,1.0,0.974,medium,huglin,new,2209.0,1732.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Fiano,Fiano,white,1.0,0.968,medium,huglin,new,2209.0,1732.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2378.0,1933.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2378.0,1933.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Tempranillo,Tempranillo,red,1.0,0.974,medium,huglin,new,2378.0,1933.0
Badacsonyi,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Fiano,Fiano,white,1.0,0.968,medium,huglin,new,2378.0,1933.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2289.0,1779.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2289.0,1779.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Tempranillo,Tempranillo,red,1.0,0.974,medium,huglin,new,2289.0,1779.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Fiano,Fiano,white,1.0,0.968,medium,huglin,new,2289.0,1779.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2601.0,2136.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Garnacha,Grenache,red,1.0,1.0,medium,huglin,new,2601.0,2136.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2601.0,2136.0
Badacsonyi,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2601.0,2136.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.584,medium,huglin,new,2287.0,1739.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.584,medium,huglin,new,2287.0,1739.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.257,high,huglin,expand,2287.0,1739.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.257,high,huglin,new,2287.0,1739.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,0.584,medium,huglin,new,2234.0,1696.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp85,high,2,Aglianico,Aglianico,red,1.0,0.584,medium,huglin,new,2234.0,1696.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp85,high,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.257,high,huglin,expand,2234.0,1696.0
Balatonboglári,Near term (2021–2040),2021-2040,rcp85,high,4,Syrah,Syrah,red,1.0,0.257,high,huglin,new,2234.0,1696.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.584,medium,huglin,new,2357.0,1833.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.584,medium,huglin,new,2357.0,1833.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.257,high,huglin,expand,2357.0,1833.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.257,high,huglin,new,2357.0,1833.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.257,high,huglin,expand,2183.0,1714.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Syrah,Syrah,red,1.0,0.257,high,huglin,new,2183.0,1714.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Sangiovese,Sangiovese,red,1.0,0.25,high,huglin,new,2183.0,1714.0
Balatonboglári,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Tempranillo,Tempranillo,red,1.0,0.257,medium,huglin,new,2183.0,1714.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.584,medium,huglin,new,2403.0,1893.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.584,medium,huglin,new,2403.0,1893.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.257,high,huglin,expand,2403.0,1893.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.257,high,huglin,new,2403.0,1893.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2586.0,2116.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2586.0,2116.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Garnacha,Grenache,red,1.0,0.971,medium,huglin,new,2586.0,2116.0
Balatonboglári,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Carignan,Carignan / Mazuelo,red,1.0,0.971,low,huglin,new,2586.0,2116.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2490.0,1951.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2490.0,1951.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.971,medium,huglin,new,2490.0,1951.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Carignan,Carignan / Mazuelo,red,1.0,0.971,low,huglin,new,2490.0,1951.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2800.0,2313.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2800.0,2313.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Garnacha,Grenache,red,1.0,0.971,medium,huglin,new,2800.0,2313.0
Balatonboglári,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Carignan,Carignan / Mazuelo,red,1.0,0.971,low,huglin,new,2800.0,2313.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp45,moderate,1,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.0,high,huglin,expand,2148.0,1636.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp45,moderate,2,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,expand,2148.0,1636.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp45,moderate,3,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2148.0,1636.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp45,moderate,4,Müller-Thurgau,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2148.0,1636.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp85,high,1,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.0,high,huglin,expand,2091.0,1592.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp85,high,2,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,expand,2091.0,1592.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp85,high,3,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2091.0,1592.0
Balatonfelvidéki,Near term (2021–2040),2021-2040,rcp85,high,4,Müller-Thurgau,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2091.0,1592.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2218.0,1731.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2218.0,1731.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Tempranillo,Tempranillo,red,1.0,0.716,medium,huglin,new,2218.0,1731.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Fiano,Fiano,white,1.0,0.716,medium,huglin,new,2218.0,1731.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.0,high,huglin,expand,2036.0,1605.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,expand,2036.0,1605.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2036.0,1605.0
Balatonfelvidéki,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Müller-Thurgau,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2036.0,1605.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2267.0,1791.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2267.0,1791.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Tempranillo,Tempranillo,red,1.0,0.716,medium,huglin,new,2267.0,1791.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Fiano,Fiano,white,1.0,0.716,medium,huglin,new,2267.0,1791.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2442.0,2004.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Garnacha,Grenache,red,1.0,1.0,medium,huglin,new,2442.0,2004.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2442.0,2004.0
Balatonfelvidéki,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2442.0,2004.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2348.0,1841.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2348.0,1841.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Tempranillo,Tempranillo,red,1.0,0.716,medium,huglin,new,2348.0,1841.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Fiano,Fiano,white,1.0,0.716,medium,huglin,new,2348.0,1841.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2660.0,2205.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Garnacha,Grenache,red,1.0,1.0,medium,huglin,new,2660.0,2205.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2660.0,2205.0
Balatonfelvidéki,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2660.0,2205.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.549,medium,huglin,new,2297.0,1773.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.549,medium,huglin,new,2297.0,1773.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.25,high,huglin,new,2297.0,1773.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.25,high,huglin,new,2297.0,1773.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,0.549,medium,huglin,new,2244.0,1734.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp85,high,2,Aglianico,Aglianico,red,1.0,0.549,medium,huglin,new,2244.0,1734.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp85,high,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.25,high,huglin,new,2244.0,1734.0
Balatonfüred-Csopaki,Near term (2021–2040),2021-2040,rcp85,high,4,Syrah,Syrah,red,1.0,0.25,high,huglin,new,2244.0,1734.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.549,medium,huglin,new,2381.0,1882.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.549,medium,huglin,new,2381.0,1882.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.25,high,huglin,new,2381.0,1882.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.25,high,huglin,new,2381.0,1882.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.25,high,huglin,new,2196.0,1751.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Syrah,Syrah,red,1.0,0.25,high,huglin,new,2196.0,1751.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Sangiovese,Sangiovese,red,1.0,0.25,high,huglin,new,2196.0,1751.0
Balatonfüred-Csopaki,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Touriga Nacional,Touriga Nacional,red,0.98,0.529,medium,huglin,new,2196.0,1751.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2434.0,1955.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2434.0,1955.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.949,medium,huglin,new,2434.0,1955.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Carignan,Carignan / Mazuelo,red,1.0,0.949,low,huglin,new,2434.0,1955.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2598.0,2152.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2598.0,2152.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Garnacha,Grenache,red,1.0,0.949,medium,huglin,new,2598.0,2152.0
Balatonfüred-Csopaki,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Carignan,Carignan / Mazuelo,red,1.0,0.949,low,huglin,new,2598.0,2152.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2516.0,2003.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2516.0,2003.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.949,medium,huglin,new,2516.0,2003.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Carignan,Carignan / Mazuelo,red,1.0,0.949,low,huglin,new,2516.0,2003.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,0.983,0.983,medium,heat,new,2822.0,2356.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,0.983,0.983,medium,heat,new,2822.0,2356.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Garnacha,Grenache,red,0.983,0.933,medium,heat,new,2822.0,2356.0
Balatonfüred-Csopaki,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Carignan,Carignan / Mazuelo,red,0.983,0.933,low,heat,new,2822.0,2356.0
Bükki,Near term (2021–2040),2021-2040,rcp45,moderate,1,Rajnai rizling,Riesling,white,1.0,0.0,high,huglin,new,2080.0,1540.0
Bükki,Near term (2021–2040),2021-2040,rcp45,moderate,2,Rizlingszilváni,Müller-Thurgau,white,1.0,0.0,high,huglin,new,2080.0,1540.0
Bükki,Near term (2021–2040),2021-2040,rcp45,moderate,3,Müller-Thurgau,Müller-Thurgau,white,1.0,0.0,high,huglin,expand,2080.0,1540.0
Bükki,Near term (2021–2040),2021-2040,rcp45,moderate,4,Tramini,Gewürztraminer,white,1.0,0.0,high,huglin,new,2080.0,1540.0
Bükki,Near term (2021–2040),2021-2040,rcp85,high,1,Olaszrizling,Welschriesling / Olaszrizling,white,1.0,0.188,high,huglin,expand,2028.0,1510.0
Bükki,Near term (2021–2040),2021-2040,rcp85,high,2,Szürkebarát,Pinot gris,white,1.0,0.188,high,huglin,new,2028.0,1510.0
Bükki,Near term (2021–2040),2021-2040,rcp85,high,3,Sauvignon blanc,Sauvignon Blanc,white,1.0,0.188,high,huglin,new,2028.0,1510.0
Bükki,Near term (2021–2040),2021-2040,rcp85,high,4,Chardonnay,Chardonnay,white,1.0,0.188,high,huglin,expand,2028.0,1510.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Olaszrizling,Welschriesling / Olaszrizling,white,0.979,0.167,high,frost,expand,2179.0,1662.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Szürkebarát,Pinot gris,white,0.979,0.167,high,frost,new,2179.0,1662.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Sauvignon blanc,Sauvignon Blanc,white,0.979,0.167,high,frost,new,2179.0,1662.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Chardonnay,Chardonnay,white,0.979,0.167,high,frost,expand,2179.0,1662.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Merlot,Merlot,red,1.0,0.512,high,huglin,new,2037.0,1571.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Furmint,Furmint,white,1.0,0.512,medium,huglin,new,2037.0,1571.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Hárslevelű,Harslevelu,white,1.0,0.512,medium,huglin,new,2037.0,1571.0
Bükki,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Kadarka,Kadarka,red,1.0,0.512,medium,huglin,new,2037.0,1571.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2242.0,1737.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2242.0,1737.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.772,high,huglin,new,2242.0,1737.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.772,high,huglin,new,2242.0,1737.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2409.0,1943.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2409.0,1943.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.772,high,huglin,new,2409.0,1943.0
Bükki,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Syrah,Syrah,red,1.0,0.772,high,huglin,new,2409.0,1943.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2315.0,1790.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2315.0,1790.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.772,high,huglin,new,2315.0,1790.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.772,high,huglin,new,2315.0,1790.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,1.0,medium,huglin,new,2641.0,2167.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Garnacha,Grenache,red,1.0,1.0,medium,huglin,new,2641.0,2167.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2641.0,2167.0
Bükki,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Aglianico,Aglianico,red,1.0,1.0,medium,huglin,new,2641.0,2167.0
Csongrádi,Near term (2021–2040),2021-2040,rcp45,moderate,1,Syrah,Syrah,red,0.873,0.091,high,frost,new,2449.0,1848.0
Csongrádi,Near term (2021–2040),2021-2040,rcp45,moderate,2,Cabernet franc,Cabernet Franc,red,0.896,-0.104,high,heat,new,2449.0,1848.0
Csongrádi,Near term (2021–2040),2021-2040,rcp45,moderate,3,Sangiovese,Sangiovese,red,0.896,-0.104,high,heat,new,2449.0,1848.0
Csongrádi,Near term (2021–2040),2021-2040,rcp45,moderate,4,Tempranillo,Tempranillo,red,0.873,0.091,medium,frost,new,2449.0,1848.0
Csongrádi,Near term (2021–2040),2021-2040,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.218,high,huglin,new,2399.0,1818.0
Csongrádi,Near term (2021–2040),2021-2040,rcp85,high,2,Merlot,Merlot,red,1.0,0.218,high,huglin,new,2399.0,1818.0
Csongrádi,Near term (2021–2040),2021-2040,rcp85,high,3,Syrah,Syrah,red,1.0,0.218,high,huglin,new,2399.0,1818.0
Csongrádi,Near term (2021–2040),2021-2040,rcp85,high,4,Furmint,Furmint,white,1.0,0.218,medium,huglin,new,2399.0,1818.0
Csongrádi,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,0.914,0.652,medium,heat,new,2542.0,1963.0
Csongrádi,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,0.914,0.652,medium,heat,new,2542.0,1963.0
